State,Reviewing and approving authorities for projects not requiring rezoning,Reviewing and approving authorities for rezoning,Allows Accessory Dwelling Units,Median height restriction (feet),Modal height restriction (feet),Median parking spaces required,Modal parking spaces required,Proportion of residential districts (including mixed use) in municipality that permit multi-family housing,Explicit growth controls index,Open space requirements index ,Minimum lot size index,Maximum permitted density index,Inclusionary zoning programmes index,Maximum height index,Zoning Restrictiveness Index,Owner-occupied housing units with a mortgage,Mortgage Value Median (dollars),Only Second mortgage,Only Home equity loan,Both second mortgage and home equity loan,No second mortgage and no home equity loan,Home equity loan without a primary mortgage,Median household income (dollars),Median Monthly Household Costs (dollars),Median Real Estate Taxes (dollars),Median Gross Rent Total,Median Gross Rent Total 1 bedroom,Median Gross Rent Total 2 bedroom,Median Gross Rent Total 3 bedroom,City,lat,lng,population,density,Cluster
AL,2,2,1,12,10,2,2,0.285714286,0,0,1,2,0,12,0.804928735,3616,224100,80,610,0,2881,45,98649,1354,755,766,628,793,915,Athens,34.7843,-86.9503,26179,248.9,7
AL,2,2,1,35,45,2,2,0.058823529,0,1,4,3,0,35,2.152012404,9812,336900,171,809,0,8768,64,121522,1738,1487,995,885,1044,1171,Auburn,32.6087,-85.4903,105386,476.6,7
AL,3,3,0,35,35,4.25,1,0.285714286,0,1,1,1,0,35,2.217050146,3086,148700,79,149,0,2821,37,59930,1232,878,879,545,931,1093,Bessemer,33.3712,-86.9728,25890,247.7,3
AL,3,3,0,45,45,3,1,0.428571429,0,1,1,2,0,45,1.871957746,21329,156000,367,1274,48,19222,418,71802,1252,976,995,926,970,1143,Birmingham,33.5279,-86.7971,782111,526.4,3
AL,2,3,0,35,35,1.5,2,0.666666667,0,1,1,1,0,35,1.821208991,643,95100,14,45,0,581,3,67054,1087,373,871,619,829,1005,Chickasaw,30.7715,-88.0793,6398,587.2,3
AL,2,3,0,50,35,2,2,0,0,0,3,1,0,50,2.090038388,1099,197300,10,0,0,1060,29,60066,1226,681,896,533,852,1066,Clanton,32.8444,-86.6233,8776,146.7,3
AL,2,1,1,35,35,1.5,1,0.384615385,0,0,1,2,0,35,0.649313669,8386,169500,135,626,13,7444,168,89221,1207,709,801,627,788,1060,Decatur,34.5731,-86.9905,57525,406.8,3
AL,1,2,1,20,20,1,1,0.272727273,0,0,3,1,0,20,1.538582166,10049,184200,202,598,16,9072,161,88666,1238,591,871,627,789,1013,Dothan,31.2336,-85.407,73037,303.8,7
AL,2,2,0,16,16,2,2,0.111111111,0,0,3,1,0,16,1.934423322,4064,194900,63,149,0,3842,10,93893,1333,863,974,570,796,1157,Enterprise,31.3275,-85.8463,28513,355.6,7
AL,2,3,0,40,45,1.5,1,0.5,0,0,1,3,0,40,0.615451401,1447,148900,46,105,11,1280,5,78384,1214,687,641,558,644,808,Eufaula,31.9102,-85.1505,12746,82.7,3
AL,2,3,0,50,50,2,2,0.3,0,1,1,2,0,50,1.476116591,4040,231300,163,110,0,3706,61,73419,1294,617,960,750,896,1584,Foley,30.3983,-87.665,21113,250.7,3
AL,0,3,0,30,35,1.2,1,0.625,0,0,1,1,0,30,0.513953891,1885,198900,0,123,0,1759,3,87326,1270,939,1097,971,1215,1146,Fultondale,33.6174,-86.8014,9756,310.4,3
AL,4,2,1,25,25,1,1,0.363636364,0,1,3,2,0,25,2.896586021,1203,286100,30,174,1,951,47,117266,1674,1049,722,397,700,844,Guntersville,34.3671,-86.2637,8644,130.2,7
AL,3,2,1,35,35,2,2,0.25,0,1,1,3,0,35,1.37125028,2514,179700,54,254,0,2153,53,102838,1209,607,775,533,680,910,Hartselle,34.4391,-86.9396,15414,357.4,7
AL,2,3,0,30,30,1.5,1,0.285714286,0,0,2,2,0,30,1.352744895,32329,249200,779,2579,53,28412,506,107155,1464,1219,1020,858,1016,1181,Huntsville,34.6981,-86.6412,349482,376.2,3
AL,2,3,0,35,35,1.5,2,0.428571429,0,1,3,1,0,35,2.605611177,12111,332100,116,1004,0,10697,294,141600,1831,1663,1201,1081,1092,1434,Madison,34.7114,-86.7626,56967,724.1,4
AL,1,3,1,32,35,2,2,0.333333333,0,0,1,2,0,32,0.564702646,23806,172000,426,1702,73,20946,659,78884,1292,958,985,795,991,1156,Mobile,30.6782,-88.1162,320855,515.7,3
AL,1,3,0,35,35,2,2,0.571428571,0,0,1,1,0,35,0.909795046,666,178300,11,10,0,645,0,55368,1024,561,641,340,595,885,Monroeville,31.5162,-87.3279,5917,171.1,3
AL,3,2,0,35,35,2,2,0.142857143,0,0,2,3,0,35,1.247878583,4183,764000,82,1080,0,2931,90,202199,3291,6225,1521,1299,1740,1458,Mountain Brook,33.4871,-86.74,22259,669.3,4
AL,2,3,0,30,30,2,2,0.25,0,0,3,2,0,30,1.744945988,5089,198300,202,353,66,4409,59,76315,1275,1016,872,621,914,1053,Opelika,32.6612,-85.3769,31361,198,3
AL,2,2,1,55,65,2,1,0.666666667,0,1,2,1,0,55,2.057795018,903,127300,40,72,0,769,22,84327,1163,434,679,381,603,751,Opp,31.2848,-86.257,6741,110,3
AL,0,2,0,35,35,2,2,0.571428571,0,0,2,2,0,35,0.405447518,6535,201500,327,325,6,5858,19,98554,1349,647,1261,1153,1115,1349,Prattville,32.4597,-86.4573,38124,412,3
AL,2,3,0,35,35,1,1,0.333333333,0,0,1,2,0,35,0.960543801,1319,168400,71,60,0,1168,20,103573,1385,728,959,634,986,915,Rainbow City,33.9336,-86.0922,10184,153.7,3
AL,2,2,1,55,65,2,1,0.666666667,0,1,2,1,0,55,2.057795018,2235,171700,37,34,0,2135,29,74654,1217,619,734,525,772,917,Scottsboro,34.6438,-86.0491,15543,118.5,3
AL,2,2,0,45,45,1,1,0.285714286,0,1,1,2,0,45,1.320501525,1312,118100,12,180,0,1120,0,76106,1118,439,687,502,751,755,Talladega,33.4333,-86.0986,15071,223.4,3
AL,1,3,0,35,35,5,5,0.454545455,0,0,1,1,0,35,0.909795046,1448,128600,8,26,0,1414,0,71855,1142,475,979,444,950,1141,Valley,32.8088,-85.181,10442,312.8,0
AL,3,3,1,35,40,2,2,0.307692308,0,1,1,1,0,35,2.217050146,7809,479700,39,1263,21,6314,172,174415,2412,3599,1458,1285,1404,1725,Vestavia Hills,33.4518,-86.7437,38600,744.5,4
AK,2,3,1,20,20,2,1,0.324324324,0,1,4,1,1,20,3.473223651,47435,368100,826,2592,222,43348,447,131299,2318,4916,1405,1006,1375,1898,Anchorage,61.1508,-149.1091,290674,65.8,4
AK,2,2,1,35,35,1,1,0.428571429,0,0,2,1,0,35,1.542222229,949,340300,13,39,0,893,4,94940,1945,3098,1180,886,1262,1702,Homer,59.653,-151.5255,5623,157.5,3
AK,2,3,1,35,35,2,2,0.384615385,0,0,2,2,0,35,1.352744895,1194,256800,0,37,0,1118,39,87500,1562,1435,1114,864,1130,1565,Kenai,60.5619,-151.1985,7477,99.1,3
AK,2,2,1,10,10,2,1,0.2,0,1,1,2,0,10,1.320501525,1004,256100,12,15,0,977,0,93942,1640,2815,1101,699,1141,1363,Palmer,61.5971,-149.1148,6091,463.7,7
AK,2,3,0,30,30,2,2,0.5,0,0,1,1,0,30,1.305636202,507,278000,4,3,1,486,13,97054,1622,2250,1059,875,1036,1352,Petersburg,56.7566,-132.8727,3317,29,3
AZ,2,2,1,35,35,2,2,0.294117647,0,0,3,1,0,35,1.934423322,6100,260000,60,47,0,5960,33,80977,1355,1280,939,753,922,1643,Apache Junction,33.3985,-111.535,38855,330.1,3
AZ,3,3,1,30,30,1,1,0.631578947,0,1,4,1,0,30,3.393653426,12949,311700,373,707,43,11783,43,102824,1638,1738,1562,1259,1478,1701,Avondale,33.3873,-112.3235,89214,723.3,4
AZ,2,2,0,30,30,1,1,0.4,0,0,1,4,0,30,0.114743935,594,190300,0,20,0,563,11,80250,1250,1101,743,670,720,937,Benson,31.9157,-110.3257,5318,49.3,3
AZ,2,2,0,32.5,30,2,2,0.333333333,0,1,4,1,1,32.5,3.317608584,7728,249300,142,247,21,7282,36,81816,1430,1497,1224,1041,1147,1406,Casa Grande,32.9069,-111.7624,55186,187.2,7
AZ,3,2,1,25,35,1.7,1,0.1,0,1,3,3,0,25,2.155652466,1490,320400,0,96,0,1394,0,79667,1395,1258,996,705,1124,1388,Cottonwood,34.7195,-112.0016,12314,168.9,7
AZ,2,3,1,25,25,1.5,2,0.5,0,0,3,1,0,25,2.090038388,1466,140900,39,51,20,1356,0,63017,1117,969,714,511,694,904,Douglas,31.3602,-109.5394,16301,630.7,7
AZ,2,3,1,27,15,2.25,2,0.333333333,0,1,3,1,0,27,2.605611177,5181,257000,14,202,0,4937,28,79604,1392,1078,1606,769,1245,1606,El Mirage,33.5905,-112.3271,35652,1390.3,7
AZ,2,3,1,15,15,2,1,0.217391304,0,0,4,1,0,15,2.482239481,33184,322500,777,2191,166,29515,535,101412,1605,1557,1268,1090,1218,1635,Glendale,33.5791,-112.2311,248083,1451.1,7
AZ,3,3,1,22.5,12,2,2,0.4,0,1,3,1,0,22.5,3.001452333,19407,393000,831,1036,18,17364,158,117583,1919,2400,1711,1399,1663,1727,Goodyear,33.2614,-112.3622,97542,196.9,4
AZ,2,3,1,25,25,0.501,0.002,0.25,0,0,1,3,0,25,0.615451401,414,142900,5,35,0,368,6,69278,1044,947,915,924,863,922,Holbrook,34.9044,-110.1672,4842,107.8,7
AZ,3,2,1,40,50,2,2,0.25,0,0,2,1,0,40,1.938063384,5629,226500,40,262,6,5232,89,70184,1152,1074,999,683,894,1109,Kingman,35.217,-114.0105,33052,339.9,3
