GEOID,statename,place,type,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,open_space,inclusionary,half_acre_less,half_acre_more,one_acre_more,two_acre_more,max_den_cat1,max_den_cat2,max_den_cat3,max_den_cat4,max_den_cat5,council_nz,planning_nz,countybrd_nz,pubhlth_nz,site_plan_nz,env_rev_nz,council_rz,planning_rz,zoning_rz,countybrd_rz,countyzone_rz,townmeet_rz,env_rev_rz,total_nz,total_rz,adu,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,mf_per,maxden5,maxden4,maxden3,maxden2,maxden1,sindex1,sindex2,sindex3,sindex4,sindex5,sindex6,sindex7,sindex8,height_st_median_sc,height_st_mode_sc,sindex9,sindex10,sindex11,sindex9_st,sindex10_st,zri,Geography,Geographic Area Name_x,Owner-occupied housing units with a mortgage,Mortgage Value Median (dollars),Only Second mortgage,Only Home equity loan,Both second mortgage and home equity loan,No second mortgage and no home equity loan,Home equity loan without a primary mortgage,"HOUSEHOLD INCOME Less than $10,000","HOUSEHOLD INCOME $10,000 to $24,999","HOUSEHOLD INCOME $25,000 to $34,999","HOUSEHOLD INCOME $35,000 to $49,999","HOUSEHOLD INCOME $50,000 to $74,999","HOUSEHOLD INCOME $75,000 to $99,999","HOUSEHOLD INCOME $100,000 to $149,999","HOUSEHOLD INCOME $150,000 or more",Median household income (dollars),Median Monthly Household Costs (dollars),Median Real Estate Taxes (dollars),Median Gross Rent Total,Median Gross Rent Total No bedroom,Median Gross Rent Total 1 bedroom,Median Gross Rent Total 2 bedroom,Median Gross Rent Total 3 bedroom,City Name,city,county_name,lat,lng,population,density
102956,AL,Athens,City,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,1,12,10,2,2,2,2,0.285714286,0,1,0,0,0,0,0,1,2,2,2,0,1,28,28,12,2,0.285714286,-1.775182629,0.164805906,0.804928735,1600000US0102956,"Athens city, Alabama",3616,224100,80,610,0,2881,45,118,206,119,144,501,740,743,1045,98649,1354,755,766,516,628,793,915,Athens,Athens,Limestone,34.7843,-86.9503,26179,248.9
103076,AL,Auburn,City,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,1,35,45,2,2,2,2,0.058823529,0,0,1,0,0,0,1,4,2,2,3,0,1,28,28,35,2,0.058823529,0.049086297,0.164805906,2.152012404,1600000US0103076,"Auburn city, Alabama",9812,336900,171,809,0,8768,64,350,297,343,374,1119,1204,2718,3407,121522,1738,1487,995,778,885,1044,1171,Auburn,Auburn,Lee,32.6087,-85.4903,105386,476.6
105980,AL,Bessemer,City,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,3,3,0,35,35,,,4.25,1,0.285714286,1,0,0,0,0,0,1,1,3,3,1,0,0,,,35,4.25,0.285714286,0.049086297,2.5210866,2.217050146,1600000US0105980,"Bessemer city, Alabama",3086,148700,79,149,0,2821,37,114,494,404,429,476,362,606,201,59930,1232,878,879,,545,931,1093,Bessemer,Bessemer,Jefferson,33.3712,-86.9728,25890,247.7
107000,AL,Birmingham,City,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,3,3,0,45,45,3,3,3,1,0.428571429,0,1,0,0,0,0,1,1,3,3,2,0,0,42,42,45,3,0.428571429,0.842246699,1.21204177,1.871957746,1600000US0107000,"Birmingham city, Alabama",21329,156000,367,1274,48,19222,418,847,2472,1731,2229,3828,3111,3391,3720,71802,1252,976,995,814,926,970,1143,Birmingham,Birmingham,Jefferson,33.5279,-86.7971,782111,526.4
114392,AL,Chickasaw,City,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,35,35,3,3,1.5,2,0.666666667,1,0,0,0,0,0,1,1,2,3,1,0,0,42,42,35,1.5,0.666666667,0.049086297,-0.358812026,1.821208991,1600000US0114392,"Chickasaw city, Alabama",643,95100,14,45,0,581,3,38,33,87,100,87,152,124,22,67054,1087,373,871,559,619,829,1005,Chickasaw,Chickasaw,Mobile,30.7715,-88.0793,6398,587.2
115064,AL,Citronelle,City,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,35,35,2,2,2,2,0,0,1,0,0,0,0,1,1,2,3,2,0,0,28,28,35,2,0,0.049086297,0.164805906,1.476116591,1600000US0115064,"Citronelle city, Alabama",517,205800,0,55,0,453,9,0,67,25,29,107,73,105,111,82824,1362,970,858,,,669,1013,Citronelle,Citronelle,Mobile,31.0952,-88.2467,3930,58.6
115136,AL,Clanton,City,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,2,3,0,50,35,10.5,10.5,2,2,0,1,0,0,0,0,0,0,3,2,3,1,0,0,147,147,50,2,0,1.2388269,0.164805906,2.090038388,1600000US0115136,"Clanton city, Alabama",1099,197300,10,0,0,1060,29,25,88,163,245,107,77,270,124,60066,1226,681,896,,533,852,1066,Clanton,Clanton,Chilton,32.8444,-86.6233,8776,146.7
120104,AL,Decatur,City,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,35,35,3,3,1.5,1,0.384615385,0,1,0,0,0,0,0,1,2,1,2,0,1,42,42,35,1.5,0.384615385,0.049086297,-0.358812026,0.649313669,1600000US0120104,"Decatur city, Alabama",8386,169500,135,626,13,7444,168,174,446,526,664,1292,1646,2215,1423,89221,1207,709,801,538,627,788,1060,Decatur,Decatur,Morgan,34.5731,-86.9905,57525,406.8
121184,AL,Dothan,City,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2,1,20,20,3,3,1,1,0.272727273,1,0,0,0,0,0,0,3,1,2,1,0,1,42,42,20,1,0.272727273,-1.140654307,-0.882429958,1.538582166,1600000US0121184,"Dothan city, Alabama",10049,184200,202,598,16,9072,161,244,747,483,1053,1427,1654,2122,2319,88666,1238,591,871,760,627,789,1013,Dothan,Dothan,Houston,31.2336,-85.407,73037,303.8
124184,AL,Enterprise,City,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,0,16,16,,,2,2,0.111111111,1,0,0,0,0,0,0,3,2,2,1,0,0,,,16,2,0.111111111,-1.457918468,0.164805906,1.934423322,1600000US0124184,"Enterprise city, Alabama",4064,194900,63,149,0,3842,10,54,319,132,479,580,603,1096,801,93893,1333,863,974,,570,796,1157,Enterprise,Enterprise,Coffee,31.3275,-85.8463,28513,355.6
124568,AL,Eufaula,City,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,40,45,2.25,2.5,1.5,1,0.5,0,0,1,0,0,0,0,1,2,3,3,0,0,31.5,35,40,1.5,0.5,0.445666498,-0.358812026,0.615451401,1600000US0124568,"Eufaula city, Alabama",1447,148900,46,105,11,1280,5,46,72,77,211,290,268,304,179,78384,1214,687,641,,558,644,808,Eufaula,Eufaula,Barbour,31.9102,-85.1505,12746,82.7
125240,AL,Fairhope,City,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,1,37.5,55,2.5,3,1,1,0.277777778,0,1,0,0,0,0,1,4,2,3,2,0,1,35,42,37.5,1,0.277777778,0.247376397,-0.882429958,2.65271987,1600000US0125240,"Fairhope city, Alabama",4365,424800,0,642,47,3558,118,276,253,204,292,488,438,1019,1395,105801,1862,1680,1575,,,1595,1543,Fairhope,Fairhope,Baldwin,30.5209,-87.8813,22605,590.5
