"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_002E","B25031_002M","B25031_003E","B25031_003M","B25031_004E","B25031_004M","B25031_005E","B25031_005M","B25031_006E","B25031_006M","B25031_007E","B25031_007M",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!No bedroom","Margin of Error!!Median gross rent --!!Total:!!No bedroom","Estimate!!Median gross rent --!!Total:!!1 bedroom","Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Estimate!!Median gross rent --!!Total:!!2 bedrooms","Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Estimate!!Median gross rent --!!Total:!!3 bedrooms","Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Estimate!!Median gross rent --!!Total:!!4 bedrooms","Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms",
"1600000US0100100","Abanda CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0100124","Abbeville city, Alabama","522","134","-","**","429","14","580","28","690","241","-","**","-","**",
"1600000US0100460","Adamsville city, Alabama","1276","141","-","**","-","**","-","**","1174","157","1387","35","-","**",
"1600000US0100484","Addison town, Alabama","456","353","-","**","-","**","-","**","650","294","-","**","-","**",
"1600000US0100676","Akron town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0100820","Alabaster city, Alabama","1215","87","-","**","1007","99","1032","84","1477","118","1774","527","-","**",
"1600000US0100988","Albertville city, Alabama","798","56","-","**","612","90","763","51","925","69","1060","520","950","439",
"1600000US0101132","Alexander City city, Alabama","630","59","-","**","379","99","651","93","891","381","967","181","430","16",
"1600000US0101180","Alexandria CDP, Alabama","1029","285","-","**","-","**","843","214","-","**","-","**","-","**",
"1600000US0101228","Aliceville city, Alabama","586","108","-","**","386","191","595","281","801","126","-","**","-","**",
"1600000US0101396","Allgood town, Alabama","774","275","-","**","-","**","475","353","782","220","-","**","-","**",
"1600000US0101660","Altoona town, Alabama","382","105","-","**","361","56","386","186","-","**","-","**","-","**",
"1600000US0101708","Andalusia city, Alabama","694","67","-","**","490","37","660","55","832","105","-","**","-","**",
"1600000US0101756","Anderson town, Alabama","906","303","-","**","-","**","930","106","-","**","-","**","-","**",
"1600000US0101852","Anniston city, Alabama","806","54","667","187","627","30","765","77","972","122","1298","202","-","**",
"1600000US0102116","Arab city, Alabama","667","40","969","57","532","27","629","17","909","81","1118","165","-","**",
"1600000US0102260","Ardmore town, Alabama","691","83","-","**","385","43","699","73","1098","461","-","**","-","**",
"1600000US0102320","Argo town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0102428","Ariton town, Alabama","775","358","-","**","-","**","-","**","832","276","-","**","-","**",
"1600000US0102500","Arley town, Alabama","-","**","-","**","-","**","290","197","625","564","-","**","-","**",
"1600000US0102836","Ashford town, Alabama","761","77","-","**","290","155","746","73","850","211","-","**","-","**",
"1600000US0102860","Ashland town, Alabama","379","56","357","37","363","257","406","135","811","338","-","**","-","**",
"1600000US0102908","Ashville city, Alabama","1014","566","-","**","-","**","661","361","720","351","1178","886","-","**",
"1600000US0102956","Athens city, Alabama","766","61","516","158","628","46","793","52","915","87","950","103","-","**",
