city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density
New York,New York,NY,New York,36081,Queens,40.6943,-73.9249,18908608,11080.3
Los Angeles,Los Angeles,CA,California,06037,Los Angeles,34.1141,-118.4068,11922389,3184.7
Chicago,Chicago,IL,Illinois,17031,Cook,41.8375,-87.6866,8497759,4614.5
Miami,Miami,FL,Florida,12086,Miami-Dade,25.784,-80.2101,6080145,4758.9
Houston,Houston,TX,Texas,48201,Harris,29.786,-95.3885,5970127,1384
Dallas,Dallas,TX,Texas,48113,Dallas,32.7935,-96.7667,5830932,1478.7
Philadelphia,Philadelphia,PA,Pennsylvania,42101,Philadelphia,40.0077,-75.1339,5683533,4578.4
Atlanta,Atlanta,GA,Georgia,13121,Fulton,33.7628,-84.422,5180179,1412.3
Washington,Washington,DC,District of Columbia,11001,District of Columbia,38.9047,-77.0163,5116378,4235.7
Boston,Boston,MA,Massachusetts,25025,Suffolk,42.3188,-71.0852,4328315,5319
Phoenix,Phoenix,AZ,Arizona,04013,Maricopa,33.5722,-112.0892,4064275,1198.9
Detroit,Detroit,MI,Michigan,26163,Wayne,42.3834,-83.1024,3725908,1772.2
Seattle,Seattle,WA,Washington,53033,King,47.6211,-122.3244,3561397,3376.6
San Francisco,San Francisco,CA,California,06075,San Francisco,37.7558,-122.4449,3364979,7030.7
San Diego,San Diego,CA,California,06073,San Diego,32.8313,-117.1222,3046560,1639.7
Minneapolis,Minneapolis,MN,Minnesota,27053,Hennepin,44.9635,-93.2678,2892569,3052.2
Tampa,Tampa,FL,Florida,12057,Hillsborough,27.9945,-82.4447,2861173,1320.9
Brooklyn,Brooklyn,NY,New York,36047,Kings,40.6501,-73.9496,2736074,15200.5
Denver,Denver,CO,Colorado,08031,Denver,39.762,-104.8758,2687458,1792.9
Queens,Queens,NY,New York,36081,Queens,40.7498,-73.7976,2405464,8503.7
Riverside,Riverside,CA,California,06065,Riverside,33.9381,-117.3949,2332836,1503.9
Las Vegas,Las Vegas,NV,Nevada,32003,Clark,36.2333,-115.2654,2248047,1755.1
Baltimore,Baltimore,MD,Maryland,24510,Baltimore,39.3051,-76.6144,2196524,2788.2
St. Louis,St. Louis,MO,Missouri,29510,St. Louis,38.6359,-90.2451,2130881,1864.3
Portland,Portland,OR,Oregon,41051,Multnomah,45.5371,-122.65,2095808,1868.8
San Antonio,San Antonio,TX,Texas,48029,Bexar,29.4632,-98.5238,2058444,1118.8
Sacramento,Sacramento,CA,California,06067,Sacramento,38.5677,-121.4685,1957738,2049.4
Austin,Austin,TX,Texas,48453,Travis,30.3005,-97.7522,1905945,1154.1
Orlando,Orlando,FL,Florida,12095,Orange,28.4773,-81.337,1882705,1070.2
San Juan,San Juan,PR,Puerto Rico,72127,San Juan,18.3985,-66.061,1814587,3128.8
San Jose,San Jose,CA,California,06085,Santa Clara,37.3012,-121.848,1771413,2172.6
Pittsburgh,Pittsburgh,PA,Pennsylvania,42003,Allegheny,40.4397,-79.9763,1749091,2118.5
Indianapolis,Indianapolis,IN,Indiana,18097,Marion,39.7771,-86.1458,1729849,941.8
Manhattan,Manhattan,NY,New York,36061,New York,40.7834,-73.9662,1694263,28653.9
Cincinnati,Cincinnati,OH,Ohio,39061,Hamilton,39.1413,-84.506,1692702,1530.6
Kansas City,Kansas City,MO,Missouri,29095,Jackson,39.1238,-94.5541,1689556,620.7
Cleveland,Cleveland,OH,Ohio,39035,Cuyahoga,41.4764,-81.6805,1680247,1839.6
Columbus,Columbus,OH,Ohio,39049,Franklin,39.9862,-82.9855,1572546,1581
Bronx,Bronx,NY,New York,36005,Bronx,40.8501,-73.8662,1472654,13356.3
Virginia Beach,Virginia Beach,VA,Virginia,51810,Virginia Beach,36.7335,-76.0435,1443020,722.4
Charlotte,Charlotte,NC,North Carolina,37119,Mecklenburg,35.2083,-80.8303,1427444,1089.8
Milwaukee,Milwaukee,WI,Wisconsin,55079,Milwaukee,43.0642,-87.9675,1290940,2301.6
Providence,Providence,RI,Rhode Island,44007,Providence,41.823,-71.4187,1290271,3979.7
Jacksonville,Jacksonville,FL,Florida,12031,Duval,30.3322,-81.6749,1288298,491
Nashville,Nashville,TN,Tennessee,47037,Davidson,36.1715,-86.7842,1177657,555.4
Salt Lake City,Salt Lake City,UT,Utah,49035,Salt Lake,40.7776,-111.9311,1173879,700.8
Raleigh,Raleigh,NC,North Carolina,37183,Wake,35.8324,-78.6429,1163152,1210
Richmond,Richmond,VA,Virginia,51760,Richmond,37.5295,-77.4756,1073223,1463.7
Memphis,Memphis,TN,Tennessee,47157,Shelby,35.1087,-89.9663,1037998,824.8
Oklahoma City,Oklahoma City,OK,Oklahoma,40109,Oklahoma,35.4676,-97.5136,998806,433.6
Hartford,Hartford,CT,Connecticut,09110,Capitol,41.7661,-72.6834,974684,2689.4
Louisville,Louisville,KY,Kentucky,21111,Jefferson,38.1663,-85.6485,963812,923.1
Buffalo,Buffalo,NY,New York,36029,Erie,42.9018,-78.8487,944589,2645.7
New Orleans,New Orleans,LA,Louisiana,22071,Orleans,30.0687,-89.9288,932759,866.5
Fort Worth,Fort Worth,TX,Texas,48439,Tarrant,32.7817,-97.3474,924663,1021.2
Bridgeport,Bridgeport,CT,Connecticut,09120,Greater Bridgeport,41.1918,-73.1954,908251,3568.4
Tucson,Tucson,AZ,Arizona,04019,Pima,32.1541,-110.8787,878320,863.9
El Paso,El Paso,TX,Texas,48141,El Paso,31.8476,-106.43,865270,1011.4
Omaha,Omaha,NE,Nebraska,31055,Douglas,41.2627,-96.0529,821345,1323.9
McAllen,McAllen,TX,Texas,48215,Hidalgo,26.2252,-98.2467,797341,884.4
Birmingham,Birmingham,AL,Alabama,01073,Jefferson,33.5279,-86.7971,782111,526.4
Albuquerque,Albuquerque,NM,New Mexico,35001,Bernalillo,35.1054,-106.6465,769986,1159.8
Tulsa,Tulsa,OK,Oklahoma,40143,Tulsa,36.1283,-95.9042,731743,804.2
Fresno,Fresno,CA,California,06019,Fresno,36.783,-119.7939,725276,1805.3
Charleston,Charleston,SC,South Carolina,45019,Charleston,32.8168,-79.9687,706884,503.3
Rochester,Rochester,NY,New York,36055,Monroe,43.168,-77.6162,699921,2278
Dayton,Dayton,OH,Ohio,39113,Montgomery,39.7805,-84.2003,668825,950
Cape Coral,Cape Coral,FL,Florida,12071,Lee,26.6443,-81.9957,654405,724.2
Mission Viejo,Mission Viejo,CA,California,06059,Orange,33.6096,-117.6551,642211,2038.4
Colorado Springs,Colorado Springs,CO,Colorado,08041,El Paso,38.8674,-104.7605,638194,917.5
Baton Rouge,Baton Rouge,LA,Louisiana,22033,East Baton Rouge,30.442,-91.1311,635671,1001.4
Allentown,Allentown,PA,Pennsylvania,42077,Lehigh,40.5961,-75.4756,627863,2754.2
Ogden,Ogden,UT,Utah,49057,Weber,41.2279,-111.9682,622918,1215.9
Provo,Provo,UT,Utah,49049,Utah,40.2457,-111.6457,619218,1059.2
Knoxville,Knoxville,TN,Tennessee,47093,Knox,35.9692,-83.9496,615829,750.3
Grand Rapids,Grand Rapids,MI,Michigan,26081,Kent,42.9619,-85.6562,609023,1708.2
Columbia,Columbia,SC,South Carolina,45079,Richland,34.0378,-80.9036,604065,383.1
Albany,Albany,NY,New York,36001,Albany,42.6664,-73.7987,590694,1798.3
Bakersfield,Bakersfield,CA,California,06029,Kern,35.3529,-119.0359,571992,1038.8
New Haven,New Haven,CT,Connecticut,09170,South Central Connecticut,41.3113,-72.9246,565572,2804.1
Des Moines,Des Moines,IA,Iowa,19153,Polk,41.5725,-93.6105,548926,933.4
Akron,Akron,OH,Ohio,39153,Summit,41.0798,-81.5219,541945,1186.2
Palm Bay,Palm Bay,FL,Florida,12009,Brevard,27.9631,-80.6593,534348,542.9
Concord,Concord,CA,California,06013,Contra Costa,37.9722,-122.0016,531175,1579.4
Wichita,Wichita,KS,Kansas,20173,Sedgwick,37.6895,-97.3443,509003,938.6
Mesa,Mesa,AZ,Arizona,04013,Maricopa,33.4015,-111.7178,503390,1379.8
Harrisburg,Harrisburg,PA,Pennsylvania,42043,Dauphin,40.2752,-76.8843,498329,2380.4
Staten Island,Staten Island,NY,New York,36085,Richmond,40.5834,-74.1496,495747,3286.2
Toledo,Toledo,OH,Ohio,39095,Lucas,41.6638,-83.5827,493302,1295
Worcester,Worcester,MA,Massachusetts,25027,Worcester,42.2705,-71.8079,486486,2110.2
Long Beach,Long Beach,CA,California,06037,Los Angeles,33.7977,-118.167,462293,3522.5
Port St. Lucie,Port St. Lucie,FL,Florida,12111,St. Lucie,27.2796,-80.3884,462047,681.8
Little Rock,Little Rock,AR,Arkansas,05119,Pulaski,34.7256,-92.3577,459409,649.4
Reno,Reno,NV,Nevada,32031,Washoe,39.5497,-119.8483,457702,940.5
Spokane,Spokane,WA,Washington,53063,Spokane,47.6671,-117.433,456219,1279.8
Madison,Madison,WI,Wisconsin,55025,Dane,43.0822,-89.393,451652,1268.3
Boise,Boise,ID,Idaho,16001,Ada,43.6005,-116.2308,449776,1072.4
Bonita Springs,Bonita Springs,FL,Florida,12071,Lee,26.3558,-81.7859,449527,542.2
Denton,Denton,TX,Texas,48121,Denton,33.2175,-97.1418,438492,567.5
Oakland,Oakland,CA,California,06001,Alameda,37.7904,-122.2166,437825,3020.6
Springfield,Springfield,MA,Massachusetts,25013,Hampden,42.1155,-72.5395,437752,1881.5
Augusta,Augusta,GA,Georgia,13245,Richmond,33.3645,-82.0708,437257,257.5
Kissimmee,Kissimmee,FL,Florida,12097,Osceola,28.3041,-81.4169,431618,1409.2
Winston-Salem,Winston-Salem,NC,North Carolina,37067,Forsyth,36.1029,-80.261,427706,721.6
Stockton,Stockton,CA,California,06077,San Joaquin,37.9765,-121.3109,413637,1980.5
Syracuse,Syracuse,NY,New York,36067,Onondaga,43.0407,-76.1437,410732,2251.6
Chattanooga,Chattanooga,TN,Tennessee,47065,Hamilton,35.066,-85.2481,406849,491.7
Lancaster,Lancaster,PA,Pennsylvania,42071,Lancaster,40.042,-76.3012,402476,3096.9
Greenville,Greenville,SC,South Carolina,45045,Greenville,34.8354,-82.3646,401443,917.9
Durham,Durham,NC,North Carolina,37063,Durham,35.9792,-78.9022,399616,950.8
Pensacola,Pensacola,FL,Florida,12033,Escambia,30.4413,-87.1911,398813,917
Fayetteville,Fayetteville,AR,Arkansas,05143,Washington,36.0714,-94.1661,394650,672.8
Arlington,Arlington,TX,Texas,48439,Tarrant,32.6998,-97.125,393469,1585.1
Aurora,Aurora,CO,Colorado,08005,Arapahoe,39.7083,-104.7237,387349,920.3
Oxnard,Oxnard,CA,California,06111,Ventura,34.1964,-119.1815,369962,2944.1
Indio,Indio,CA,California,06065,Riverside,33.7346,-116.2346,369654,1042.7
Scranton,Scranton,PA,Pennsylvania,42069,Lackawanna,41.4044,-75.6649,366334,1161.3
Victorville,Victorville,CA,California,06071,San Bernardino,34.5277,-117.3536,364015,704.1
Trenton,Trenton,NJ,New Jersey,34021,Mercer,40.2237,-74.7641,362179,4571.3
Modesto,Modesto,CA,California,06099,Stanislaus,37.6375,-121.0028,354183,1955.8
Huntsville,Huntsville,AL,Alabama,01089,Madison,34.6981,-86.6412,349482,376.2
Honolulu,Honolulu,HI,Hawaii,15003,Honolulu,21.3294,-157.846,348547,2219.9
